Crop,Acres
Alfalfa ,61926.67078
Almond,198733.7889
Apples,793.3078363
Beans ,217.861888
Berries,1032.959523
Carrots,941.9852118
Cherries,4674.74004
Citrus,43084.87417
Corn,40678.01265
Cotton,52841.94918
Grapes,204301.0576
Kiwis,894.1888776
Lettuce,1944.548418
Melons,22016.71816
Olives,1685.088703
Onions ,19526.02954
Peaches,26779.50124
Pears,923.7377157
Peppers,203.9575559
Pistachio,89926.56331
Plums,13399.49952
Pomegranate,6435.361232
Potatoes ,2.83834721
Rice,1632.34348
Safflower,706.2876186
Strawberries,81.02027122
Tomato,84278.92642
Walnut,8945.473658
Wheat,19775.11465
